instrument,asset_class,direction,setup_type,call_type,timestamp,entry,stoploss,target,rr,rr_tier,outcome,exit_price,r_multiple
NIFTY,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-05-12T13:50:00+05:30,23495.85,23541.61,23358.58,3.0,1:3,WON,23358.58,3.0
NIFTY,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-05-12T14:40:00+05:30,23463.6,23497.71,23414.0,1.45,1:1,WON,23414.0,1.45
NIFTY,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-18T14:15:00+05:30,23612.15,23592.48,23661.35,2.5,1:3,LOST,23592.48,-1.0
NIFTY,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-18T14:40:00+05:30,23602.95,23592.79,23661.35,5.75,1:6,LOST,23592.79,-1.0
NIFTY,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-05-19T14:40:00+05:30,23657.9,23729.98,23581.95,1.05,1:1,WON,23581.95,1.05
NIFTY,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-06-01T14:40:00+05:30,23416.3,23427.85,23403.75,1.09,1:1,WON,23403.75,1.09
NIFTY,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-02T11:10:00+05:30,23310.3,23258.54,23478.6,3.25,1:3,WON,23478.6,3.25
NIFTY,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-02T11:10:00+05:30,23310.3,23258.14,23478.6,3.23,1:3,WON,23478.6,3.23
NIFTY,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-25T13:55:00+05:30,24179.5,24218.21,24097.15,2.13,1:2,WON,24097.15,2.13
BANKNIFTY,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-05-21T13:50:00+05:30,53306.65,53323.54,53195.6,6.57,1:7,LOST,53323.54,-1.0
BANKNIFTY,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-25T14:15:00+05:30,54967.6,55026.1,54908.65,1.01,1:1,LOST,55026.1,-1.0
BANKNIFTY,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-26T10:15:00+05:30,55357.45,55541.17,54908.65,2.44,1:2,WON,54908.65,2.44
BANKNIFTY,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-26T11:10:00+05:30,55401.5,55541.58,54908.65,3.52,1:4,WON,54908.65,3.52
BANKNIFTY,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-06-01T14:45:00+05:30,53605.5,53648.95,53530.9,1.72,1:2,WON,53530.9,1.72
BANKNIFTY,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-05T11:55:00+05:30,54500.2,54559.49,54366.85,2.25,1:2,LOST,54559.49,-1.0
BANKNIFTY,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-25T13:50:00+05:30,58485.65,58627.32,58093.95,2.76,1:3,WON,58093.95,2.76
RELIANCE,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-14T14:10:00+05:30,1366.3,1372.11,1358.5,1.34,1:1,WON,1358.5,1.34
RELIANCE,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-18T14:50:00+05:30,1332.2,1336.31,1319.1,3.19,1:3,LOST,1336.31,-1.0
RELIANCE,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-18T14:50:00+05:30,1332.2,1336.29,1319.1,3.2,1:3,LOST,1336.29,-1.0
HDFCBANK,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-05-12T14:40:00+05:30,752.35,753.28,751.1,1.35,1:1,WON,751.1,1.34
HDFCBANK,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-06-01T15:10:00+05:30,743.05,745.12,738.65,2.13,1:2,WON,738.65,2.13
HDFCBANK,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-06-01T14:45:00+05:30,742.15,743.24,738.65,3.22,1:3,LOST,743.24,-1.0
HDFCBANK,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-09T14:05:00+05:30,739.15,737.71,740.7,1.07,1:1,LOST,737.71,-1.0
ICICIBANK,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-05T14:15:00+05:30,1257.4,1262.24,1251.0,1.32,1:1,LOST,1262.24,-1.0
ICICIBANK,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-05T14:15:00+05:30,1257.4,1262.21,1251.0,1.33,1:1,LOST,1262.21,-1.0
SBIN,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-12T14:15:00+05:30,973.1,969.0,981.2,1.98,1:2,LOST,969.0,-1.0
SBIN,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-12T15:10:00+05:30,973.5,969.03,981.2,1.72,1:2,LOST,969.03,-1.0
SBIN,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-15T11:35:00+05:30,1026.85,1023.76,1033.4,2.12,1:2,LOST,1023.76,-1.0
SBIN,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-15T11:35:00+05:30,1026.85,1023.76,1033.4,2.12,1:2,LOST,1023.76,-1.0
TMPV,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-05-25T10:55:00+05:30,371.25,370.29,373.6,2.44,1:2,WON,373.6,2.45
TMPV,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-29T10:15:00+05:30,402.95,407.89,383.7,3.9,1:4,WON,383.7,3.9
TMPV,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-19T13:45:00+05:30,359.65,358.39,361.55,1.5,1:2,WON,361.55,1.51
TMPV,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-19T14:25:00+05:30,359.4,358.94,361.55,4.68,1:5,LOST,358.94,-1.0
TATASTEEL,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-19T11:55:00+05:30,210.87,212.46,209.1,1.11,1:1,WON,209.1,1.11
TATASTEEL,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-11T11:40:00+05:30,198.82,197.87,200.08,1.33,1:1,LOST,197.87,-1.0
TATASTEEL,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-15T10:55:00+05:30,199.5,200.6,197.24,2.06,1:2,WON,197.24,2.05
TATASTEEL,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-15T10:55:00+05:30,199.5,200.6,197.24,2.06,1:2,WON,197.24,2.05
TATASTEEL,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-17T11:05:00+05:30,197.9,197.28,198.76,1.38,1:1,WON,198.76,1.39
TATASTEEL,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-07-01T10:55:00+05:30,187.81,186.62,189.07,1.06,1:1,LOST,186.62,-1.0
