instrument,asset_class,direction,setup_type,call_type,timestamp,entry,stoploss,target,rr,rr_tier,outcome,exit_price,r_multiple
AIAENG,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-05-27T11:05:00+05:30,4390.3,4325.41,4495,1.61,01:02,WON,4495,1.61
AIAENG,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-01T11:30:00+05:30,4577.2,4559,4603.5,1.44,01:01,LOST,4559,-1
AIAENG,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-19T13:45:00+05:30,4725,4721.02,4775,12.56,01:13,LOST,4721.02,-1
AIAENG,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-25T11:05:00+05:30,4866.3,4851.72,4887.6,1.46,01:01,LOST,4851.72,-1
AIAENG,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-30T14:15:00+05:30,5105,5046.86,5279.42,3,01:03,LOST,5046.86,-1
AIAENG,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-30T14:40:00+05:30,5081.6,5046.33,5179,2.76,01:03,LOST,5046.33,-1
ACMESOLAR,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-05T11:15:00+05:30,346.2,349.24,326.1,6.62,01:07,LOST,349.24,-1
ACMESOLAR,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-08T14:45:00+05:30,356.75,360.91,345.55,2.69,01:03,WON,345.55,2.69
ACMESOLAR,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-07-01T10:45:00+05:30,393.5,379.93,434.21,3,01:03,LOST,379.93,-1
3MINDIA,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-05-12T14:45:00+05:30,31105,31156.52,31000,2.04,01:02,WON,31000,2.04
3MINDIA,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-15T11:30:00+05:30,31300,31413.62,31155,1.28,01:01,WON,31155,1.28
3MINDIA,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-19T15:10:00+05:30,31845,31910.31,31535,4.75,01:05,WON,31535,4.75
3MINDIA,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-22T11:40:00+05:30,33305,33366.52,33210,1.54,01:02,LOST,33366.52,-1
ABB,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-12T15:15:00+05:30,6331,6288.09,6400,1.61,01:02,LOST,6288.09,-1
ABB,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-18T11:00:00+05:30,6299.5,6261.71,6342,1.12,01:01,WON,6342,1.12
360ONE,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-12T11:25:00+05:30,1108.3,1102.58,1126.4,3.16,01:03,LOST,1102.58,-1
360ONE,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-12T11:45:00+05:30,1105.6,1102.62,1126.4,6.99,01:07,LOST,1102.62,-1
360ONE,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-13T11:45:00+05:30,1089.1,1097.03,1075,1.78,01:02,WON,1075,1.78
360ONE,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-16T14:55:00+05:30,1136.5,1138.46,1133.8,1.38,01:01,WON,1133.8,1.38
360ONE,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-18T10:45:00+05:30,1155.6,1153.89,1165,5.51,01:06,LOST,1153.89,-1
ACC,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-05-18T10:25:00+05:30,1334,1346.44,1296.69,3,01:03,LOST,1346.44,-1
ACC,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-05-18T11:25:00+05:30,1337.9,1342.89,1332,1.18,01:01,LOST,1342.89,-1
AUBANK,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-18T14:25:00+05:30,979.7,975.11,996.9,3.75,01:04,LOST,975.11,-1
AUBANK,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-24T14:50:00+05:30,1067.45,1065.72,1070.85,1.97,01:02,LOST,1065.72,-1
AUBANK,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-07-02T14:05:00+05:30,1054.9,1058.25,1045.6,2.78,01:03,LOST,1058.25,-1
APLAPOLLO,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-11T10:15:00+05:30,1762.8,1752.11,1777.9,1.41,01:01,LOST,1752.11,-1
AWL,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-15T14:20:00+05:30,200.89,202.12,199.52,1.11,01:01,WON,199.52,1.11
AWL,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-26T11:35:00+05:30,195.37,194.97,195.8,1.08,01:01,LOST,194.97,-1
AWL,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-26T11:35:00+05:30,195.37,194.97,195.8,1.07,01:01,LOST,194.97,-1
AWL,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-27T10:25:00+05:30,193.54,193.18,195.6,5.65,01:06,LOST,193.18,-1
AWL,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-02T13:45:00+05:30,190.42,189.69,191.53,1.51,01:02,WON,191.53,1.52
AWL,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-02T14:45:00+05:30,190.55,189.68,191.53,1.13,01:01,LOST,189.68,-1
AWL,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-04T11:35:00+05:30,189.86,189.68,191.29,7.86,01:08,LOST,189.68,-1
AWL,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-06-08T14:50:00+05:30,186.45,186.58,185.75,5.33,01:05,WON,185.75,5.38
AWL,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-24T14:30:00+05:30,183.53,182.83,185.14,2.29,01:02,LOST,182.83,-1
AWL,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-24T14:30:00+05:30,183.53,183.15,185.14,4.26,01:04,LOST,183.15,-1
AAVAS,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-02T10:55:00+05:30,1303.3,1299.1,1333,7.08,01:07,LOST,1299.1,-1
AAVAS,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-02T10:55:00+05:30,1303.3,1299.13,1333,7.12,01:07,LOST,1299.13,-1
AAVAS,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-07-01T10:50:00+05:30,1507.9,1521.6,1489.5,1.34,01:01,LOST,1521.6,-1
AAVAS,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-07-01T10:50:00+05:30,1507.9,1521.62,1489.5,1.34,01:01,LOST,1521.62,-1
AADHARHFC,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-12T14:20:00+05:30,489.25,485.76,497,2.22,01:02,LOST,485.76,-1
AADHARHFC,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-13T11:00:00+05:30,483.9,480.62,487.85,1.2,01:01,WON,487.85,1.2
ACUTAAS,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-05-18T14:40:00+05:30,2794.4,2790.04,2815.6,4.86,01:05,LOST,2790.04,-1
ACUTAAS,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-20T12:15:00+05:30,2868.2,2857.89,2890.4,2.15,01:02,LOST,2857.89,-1
ACUTAAS,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-12T14:05:00+05:30,3121.9,3118.13,3134.5,3.34,01:03,WON,3134.5,3.34
ACUTAAS,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-19T14:45:00+05:30,3214.8,3206.64,3233,2.23,01:02,LOST,3206.64,-1
ACUTAAS,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-19T14:45:00+05:30,3214.8,3203.29,3233,1.58,01:02,LOST,3203.29,-1
ACUTAAS,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-24T14:25:00+05:30,3269,3262.7,3287.4,2.92,01:03,LOST,3262.7,-1
ACUTAAS,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-29T14:50:00+05:30,3474,3444.51,3541.2,2.28,01:02,LOST,3444.51,-1
ACUTAAS,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-29T14:50:00+05:30,3474,3444.54,3541.2,2.28,01:02,LOST,3444.54,-1
ACUTAAS,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-30T14:30:00+05:30,3498.9,3468.65,3541.2,1.4,01:01,WON,3541.2,1.4
ADANIENT,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-05-14T10:50:00+05:30,2625.3,2615.25,2646,2.06,01:02,LOST,2615.25,-1
ADANIENT,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-05-14T10:50:00+05:30,2625.3,2615.1,2665,3.89,01:04,LOST,2615.1,-1
ADANIENT,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-05T10:20:00+05:30,3031.5,3016.54,3049.8,1.22,01:01,LOST,3016.54,-1
ADANIENT,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-11T11:00:00+05:30,2947.7,2944.86,2962.1,5.07,01:05,LOST,2944.86,-1
ACE,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-03T14:10:00+05:30,863.95,861.55,876,5.03,01:05,WON,876,5.02
ACE,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-17T12:05:00+05:30,960,957.26,964.7,1.71,01:02,LOST,957.26,-1
ADANIGREEN,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-05-13T13:55:00+05:30,1378.8,1369.61,1388.4,1.04,01:01,WON,1388.4,1.04
ABBOTINDIA,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-15T11:00:00+05:30,27740,27863.88,27500,1.94,01:02,LOST,27863.88,-1
ABBOTINDIA,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-05T14:25:00+05:30,26040,25990.85,26105,1.32,01:01,LOST,25990.85,-1
ABBOTINDIA,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-06-29T14:40:00+05:30,25340,25358.39,25215,6.8,01:07,LOST,25358.39,-1
ADANIENSOL,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-19T14:50:00+05:30,1330.9,1339.79,1321,1.11,01:01,WON,1321,1.11
ADANIENSOL,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-19T14:50:00+05:30,1330.9,1339.76,1321,1.12,01:01,WON,1321,1.12
ADANIPORTS,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-25T10:30:00+05:30,1797.8,1804.16,1790.8,1.1,01:01,LOST,1804.16,-1
ADANIPORTS,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-25T10:30:00+05:30,1797.8,1804.16,1790.8,1.1,01:01,LOST,1804.16,-1
ADANIPORTS,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-05-26T10:50:00+05:30,1815,1811.22,1821,1.59,01:02,LOST,1811.22,-1
ADANIPORTS,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-25T11:40:00+05:30,1817.6,1819.07,1814.2,2.31,01:02,LOST,1819.07,-1
ABCAPITAL,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-05-26T11:05:00+05:30,365.35,364.94,365.95,1.47,01:01,LOST,364.94,-1
ABCAPITAL,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-05-29T14:45:00+05:30,366.3,364.85,367.9,1.11,01:01,LOST,364.85,-1
ABCAPITAL,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-16T10:25:00+05:30,372.4,370.82,374.5,1.33,01:01,LOST,370.82,-1
ABCAPITAL,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-24T14:05:00+05:30,394.9,394.08,396.5,1.95,01:02,LOST,394.08,-1
ABCAPITAL,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-24T14:15:00+05:30,394.55,394.48,396.5,26,01:26,LOST,394.48,-1
ABCAPITAL,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-07-03T11:10:00+05:30,401.35,401.06,404,9.1,01:09,WON,404,9.14
ABCAPITAL,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-07-03T11:20:00+05:30,402.35,401.9,404,3.68,01:04,WON,404,3.67
ADANIPOWER,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-20T10:30:00+05:30,218.57,218.08,220.05,3.02,01:03,LOST,218.08,-1
ADANIPOWER,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-20T10:30:00+05:30,218.57,218.08,220,2.89,01:03,LOST,218.08,-1
ADANIPOWER,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-02T10:35:00+05:30,232.69,230.93,234.49,1.02,01:01,LOST,230.93,-1
ADANIPOWER,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-05T11:10:00+05:30,233.84,234.88,231.71,2.05,01:02,WON,231.71,2.05
